0,0
0.023,0
0.046,0
0.069,0
0.092,0
0.115,0
0.138,0
0.161,0
0.184,0
0.207,0
0.23,0
0.253,0
0.276,0
0.299,0
0.322,0
0.345,0
0.368,0
0.391,0
0.414,0
0.437,0
0.46,0
0.483,0
0.506,0
0.529,0
0.552,0
0.575,0
0.598,0
0.621,0
0.644,0
0.667,0
0.69,0
0.713,0
0.736,0
0.759,0
0.782,0
0.805,0
0.828,0
0.851,0
0.874,44.1226
0.897,117.367
0.92,191.388
0.943,258.225
0.966,521.4
0.989,400.929
1.012,449.166
1.035,391.731
1.058,508.152
1.081,492.779
1.104,472.669
1.127,443.088
1.15,435.972
1.173,414.274
1.196,389.152
1.219,365.6
1.242,317.076
1.265,280.274
1.288,282.734
1.311,336.286
1.334,267.555
1.357,291.89
1.38,264.453
1.403,280.131
1.426,251.147
1.449,227.08
1.472,216.949
1.495,179.886
1.518,230.717
1.541,203.835
1.564,225.805
1.587,224.77
1.61,205.28
1.633,181.667
1.656,211.53
1.679,234.87
1.702,240.391
1.725,172.107
1.748,189.988
1.771,178.583
1.794,220.762
1.817,231.801
1.84,224.059
1.863,224.502
1.886,213.327
1.909,247.647
1.932,241.82
1.955,252.301
1.978,211.536
2.001,256.275
2.024,262.208
2.047,240.051
2.07,236.372
2.093,235.921
2.116,233.905
2.139,221.448
2.162,212.391
2.185,235.218
2.208,235.987
2.231,238.051
2.254,252.117
2.277,232.541
